Date,Batch Name,RWA Exps Typ,GFCID,Netting Set ID,Netting Agreement ID,Netting Flag,Sft Transaction Type,Bal Typ Cd,Source system ID,Source Txns ID,Portfolio Type,IMS Account Number,Account Mnemonic,Gfmis Code,Sub Product,Dsft Base Mpor,Dsft Issue Mpor,Dsft Issuer Mpor,Dsft Base Conc,Security ID Type,Security ID,Security Description,Security Rating,Stale prc flg 2days,Illiquid Collateral Flag,Illiquid Flag,Large Netting Set Flag,Margin Dispute Flag,Is Portfolio Concentrated,Extended MPOR indicator,Extended MPOR Reason,Concentration flag derived,LRM Flag,SWWR Flag,SWWR Description,Agency Lending Indicator,Basel Calculation Methodology Code,Haircut,Haircut Eligible Status,Haircut Eligible Reason Cd,Basel Calculatio Methodology Code Description,Settlement Date,Maturity Date,ISO Currency,ISO CCY,Prin CCY,ISO Currency Derived,Largest Net CCY,Agr Settlement Ccy code,Buy or Sell Indicator,Std DSFT Final MPOR,NS MPOR,Scen A MPOR,NS MPOR  - Scen B,Scen B MPOR,Period of Risk Days,Remargining Frequency,Scenario,STD EAD Scenario Used,Check Scenario,Dsft Cmtrcvrfac Scen1,Dsft Rcvr Fac Scen2,Exposure Currency,Collateral Currency,Security Quantity,Principal,Market Value,Dsft Over Mpor Scen1,Dsft Over Mpor Scen2,Counterparty GFCID,GFCID Name
6/29/2025,USCON,12,100000001,1,1,Y,MARGIN_LOAN,15,163186,Txn 1,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 1,Security 1,Unrated,N,N,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.15,Elligible,Elligible-Equity Public,B3,1/1/1900,,,,,,USD,USD,B,10,20,20,10,10,10,1,SCENARIO,SCENARIO1,TRUE,1,1,,,18000,,891186.97,10,20,100000001,Ctpy 1
6/29/2025,USCON,12,100000001,1,1,Y,MARGIN_LOAN,15,163186,Txn 2,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 2,Security 2,Unrated,N,N,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,1/1/1900,,USD,USD,,USD,USD,USD,B,10,20,20,10,10,10,1,SCENARIO,SCENARIO1,TRUE,1,1,,USD,8000,,113431.08,10,20,100000001,Ctpy 1
6/29/2025,USCON,12,100000001,1,1,Y,MARGIN_LOAN,15,163186,Txn 3,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 3,Security 3,Unrated,N,N,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,                            ,1,0.25,Elligible,Elligible-Equity Public,B3,1/1/1900,,USD,USD,,USD,USD,USD,S,10,20,20,10,10,10,1,SCENARIO,SCENARIO1,TRUE,1,1,USD,,1000,,14744.43,10,20,100000001,Ctpy 1
6/29/2025,USCON,12,100000001,1,1,Y,MARGIN_LOAN,15,163186,Txn 4,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 4,Security 4,Unrated,N,N,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,1/1/1900,,USD,USD,,USD,USD,USD,B,10,20,20,10,10,10,1,SCENARIO,SCENARIO1,TRUE,1,1,,USD,7000,,324680.8,10,20,100000001,Ctpy 1
6/29/2025,USCON,12,100000001,1,1,Y,MARGIN_LOAN,15,163186,Txn 5,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 5,Security 5,Unrated,N,N,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.15,Elligible,Elligible-Equity Public,B3,1/1/1900,,USD,USD,,USD,USD,USD,B,10,20,20,10,10,10,1,SCENARIO,SCENARIO1,TRUE,1,1,,USD,20000,,4850034.55,10,20,100000001,Ctpy 1
6/29/2025,USCON,12,100000001,1,1,Y,MARGIN_LOAN,1,163186,Txn 6,Netting Set,1,2,1,2,0,0,0,,CUSP,Security 6,Security 6,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,N,N,No SWWR,,1,1,Ineligible,Defaulting to INELIGIBLE as SMCP not found,B3,1/1/1900,,,,USD,USD,USD,USD,B,10,20,20,10,10,10,1,SCENARIO,SCENARIO1,TRUE,0,0,USD,,,18031632.2,,0,0,100000001,Ctpy 1
6/29/2025,USCON,12,100000001,2,2,Y,MARGIN_LOAN,15,163186,Txn 7,Netting Set,2,1,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 7,Security 7,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,1/1/1900,,USD,USD,,USD,USD,,B,10,20,20,10,10,10,1,SCENARIO,SCENARIO1,TRUE,1,1,,USD,50000,,12396987.9,10,20,100000002,Ctpy 2
6/29/2025,USCON,12,100000001,2,2,Y,MARGIN_LOAN,15,163186,Txn 8,Netting Set,2,1,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 8,Security 8,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.15,Elligible,Elligible-Equity Public,B3,1/1/1900,,USD,USD,,USD,USD,,B,10,20,20,10,10,10,1,SCENARIO,SCENARIO1,TRUE,1,1,,USD,119912,,11103288,10,20,100000002,Ctpy 2
6/29/2025,USCON,12,100000001,2,2,Y,MARGIN_LOAN,15,163186,Txn 9,Netting Set,2,1,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 9,Security 9,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,                            ,1,0.15,Elligible,Elligible-Equity Public,B3,1/1/1900,,USD,USD,,USD,USD,,S,10,20,20,10,10,10,1,SCENARIO,SCENARIO1,TRUE,1,1,USD,,129819,,15094847.36,10,20,100000002,Ctpy 2
6/29/2025,USCON,12,100000001,2,2,Y,MARGIN_LOAN,15,163186,Txn 10,Netting Set,2,1,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 10,Security 10,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,1/1/1900,,USD,USD,,USD,USD,,S,10,20,20,10,10,10,1,SCENARIO,SCENARIO1,TRUE,1,1,USD,,21124,,5849007.3,10,20,100000002,Ctpy 2
6/29/2025,USCON,12,100000001,2,2,Y,MARGIN_LOAN,15,163186,Txn 11,Netting Set,2,1,1,2,5,0,5,,CUSP,Security 11,Security 11,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,N,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,1/1/1900,,USD,USD,,USD,USD,,B,10,20,20,10,10,10,1,SCENARIO,SCENARIO1,TRUE,1,1,,USD,15332,,791811000.3,0,0,100000002,Ctpy 2
6/29/2025,USCON,12,100000001,2,2,Y,MARGIN_LOAN,15,163186,Txn 12,Netting Set,2,1,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 12,Security 12,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.15,Elligible,Elligible-Equity Public,B3,1/1/1900,,USD,USD,,USD,USD,,S,10,20,20,10,10,10,1,SCENARIO,SCENARIO1,TRUE,1,1,USD,,41242,,3764749,10,20,100000002,Ctpy 2
6/29/2025,USCON,12,100000001,2,2,Y,MARGIN_LOAN,15,163186,Txn 13,Netting Set,2,1,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 13,Security 13,Unrated,N,Y,N,N,N,Y,Y,Concentrated,FALSE,Y,N,No SWWR,,1,0.15,Elligible,Elligible-Equity Public,B3,1/1/1900,,CAD,CAD,,CAD,USD,,S,10,20,20,10,10,10,1,SCENARIO,SCENARIO1,TRUE,1,1,CAD,,219839,,22813134.66,10,20,100000002,Ctpy 2
6/29/2025,USCON,12,100000001,3,3,Y,MARGIN_LOAN,15,163186,Txn 14,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 14,Security 14,Unrated,N,N,N,N,N,N,N,,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,1/1/1900,,USD,USD,,USD,USD,USD,S,20,10,10,10,10,20,1,NA,SCENARIO2,TRUE,1,1,USD,,12394,,304306.8,10,20,100000003,Ctpy 3
6/29/2025,USCON,12,100000001,3,3,Y,MARGIN_LOAN,15,163186,Txn 15,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 15,Security 15,Unrated,N,N,N,N,N,N,N,,FALSE,Y,N,No SWWR,                            ,1,0.15,Elligible,Elligible-Equity Public,B3,1/1/1900,,GBP,GBP,,GBP,USD,USD,B,20,10,10,10,10,20,1,NA,SCENARIO2,TRUE,1,1,,GBP,141251,,4057479.94,10,20,100000003,Ctpy 3
6/29/2025,USCON,12,100000001,3,3,Y,MARGIN_LOAN,15,163186,Txn 16,Netting Set,1,2,1,2,5,0,5,NOT_CONCENTRATED,CUSP,Security 16,Security 16,Unrated,N,N,N,N,N,N,N,,FALSE,Y,N,No SWWR,,1,0.25,Elligible,Elligible-Equity Public,B3,1/1/1900,,USD,USD,,USD,USD,USD,S,20,10,10,10,10,20,1,NA,SCENARIO2,TRUE,1,1,USD,,32321,,10109437.28,10,20,100000003,Ctpy 3
